Name,Emp_ID,Gender,Education_Qualification,Date_of_Join,Job_Title,Salary,Salary_digit,Age,Leave_Balance
Barr Faughny,AC0001,Male,Bachelor's Degree,12-Jun-20,Chocolatier,"$51,300 ",51300 ,26,13
Dennison Crosswaite,AC0002,Female,Diploma,18-Feb-21,Production Operator,"$38,300 ",38300 ,32.7,12
Gunar Cockshoot,AC0003,Male,High School Diploma,5-Sep-22,Packaging Associate,"$31,400 ",31400 ,34.3,16
Wilone O'Kielt,AC0004,Female,Bachelor's Degree,20-Nov-19,Marketing Specialist,"$60,700 ",60700 ,29.6,21
Gigi Bohling,AC0005,Male,Master's Degree,8-Apr-18,Research Scientist,"$77,300 ",77300 ,30.3,23
Curtice Advani,AC0006,Female,Bachelor's Degree,14-Mar-23,Sales Representative,"$49,800 ",49800 ,37.7,23
Kaine Padly,AC0007,Male,High School Diploma,2-Jan-22,Production Operator,"$33,000 ",33000 ,31.8,24
Ches Bonnell,AC0008,Female,Diploma,19-Jul-20,Quality Control,"$41,900 ",41900 ,35.9,17
Andria Kimpton,AC0009,Male,Bachelor's Degree,10-Nov-21,Research Analyst,"$58,100 ",58100 ,31,16
Brien Boise,AC0010,Female,Master's Degree,25-Jun-19,Product Manager,"$82,900 ",82900 ,31.1,17
Husein Augar,AC0011,Male,High School Diploma,4-Aug-22,Packaging Associate,"$28,900 ",28900 ,30.3,16
Karlen McCaffrey,AC0012,Female,Diploma,17-Feb-20,Production Operator,"$37,300 ",37300 ,35,11
Jan Morforth,AC0013,Male,Bachelor's Degree,30-Oct-21,Chocolatier,"$52,700 ",52700 ,28.5,25
Dotty Strutley,AC0014,Female,Master's Degree,12-Sep-18,Marketing Manager,"$74,700 ",74700 ,52.4,10
Kelci Walkden,AC0015,Male,Bachelor's Degree,5-Mar-19,Research Analyst,"$55,600 ",55600 ,35.4,12
Marney O'Breen,AC0016,Female,High School Diploma,21-May-22,Packaging Associate,"$32,900 ",32900 ,29.8,17
Rafaelita Blaksland,AC0017,Female,Diploma,8-Aug-21,Quality Control,"$41,500 ",41500 ,32.3,17
Madelene Upcott,AC0018,Male,Bachelor's Degree,23-Nov-20,Sales Representative,"$49,400 ",49400 ,31.1,20
Beverie Moffet,AC0019,Female,Master's Degree,15-Jul-17,Product Manager,"$82,700 ",82700 ,33.5,23
Oby Sorrel,AC0020,Male,High School Diploma,30-Mar-22,Production Operator,"$38,200 ",38200 ,31.1,16
Mallorie Waber,AC0021,Female,Diploma,4-Sep-19,Packaging Associate,"$32,600 ",32600 ,31.5,16
Jehu Rudeforth,AC0022,Male,Bachelor's Degree,19-Jun-18,Research Scientist,"$76,800 ",76800 ,32.7,22
Van Tuxwell,AC0023,Female,Master's Degree,7-Jan-21,Marketing Specialist,"$62,300 ",62300 ,33.8,23
Roddy Speechley,AC0024,Male,Bachelor's Degree,25-Aug-20,Sales Representative,"$46,200 ",46200 ,30.1,19
Camilla Castle,AC0025,Female,High School Diploma,12-Feb-23,Packaging Associate,"$32,500 ",32500 ,63.7,12
Janene Hairsine,AC0026,Male,Diploma,1-Nov-22,Quality Control,"$43,100 ",43100 ,33.8,16
Niall Selesnick,AC0027,Female,Bachelor's Degree,16-Apr-19,Research Analyst,"$60,000 ",60000 ,28.8,18
